Date,Open,High,Low,Close ,Adj Close ,Volume
20-Jun-11,"1,271.50","1,298.61","1,262.87","1,283.50","1,283.50","16,222,680,000"
13-Jun-11,"1,271.31","1,292.50","1,258.07","1,271.50","1,271.50","20,466,010,000"
6-Jun-11,"1,300.26","1,300.26","1,268.28","1,270.98","1,270.98","18,551,800,000"
30-May-11,"1,331.10","1,345.20","1,297.90","1,300.16","1,300.16","16,204,530,000"
23-May-11,"1,333.07","1,334.62","1,311.80","1,331.10","1,331.10","17,595,530,000"
16-May-11,"1,334.77","1,346.82","1,318.51","1,333.27","1,333.27","19,514,380,000"
9-May-11,"1,340.20","1,359.44","1,332.03","1,337.77","1,337.77","19,539,110,000"
2-May-11,"1,365.21","1,370.58","1,329.17","1,340.20","1,340.20","20,363,720,000"
25-Apr-11,"1,337.14","1,364.56","1,331.47","1,363.61","1,363.61","17,617,650,000"
18-Apr-11,"1,313.35","1,337.49","1,294.70","1,337.38","1,337.38","15,933,560,000"
11-Apr-11,"1,329.01","1,333.77","1,302.42","1,319.68","1,319.68","19,701,690,000"
4-Apr-11,"1,333.56","1,339.46","1,322.94","1,328.17","1,328.17","19,888,170,000"
28-Mar-11,"1,315.45","1,337.85","1,305.26","1,332.41","1,332.41","18,297,330,000"
21-Mar-11,"1,281.65","1,319.18","1,281.65","1,313.80","1,313.80","20,090,110,000"
14-Mar-11,"1,301.19","1,301.19","1,249.05","1,279.21","1,279.21","23,905,220,000"
7-Mar-11,"1,322.72","1,327.68","1,291.99","1,304.28","1,304.28","20,669,090,000"
28-Feb-11,"1,321.61","1,332.28","1,302.58","1,321.15","1,321.15","12,022,480,000"
21-Feb-11,"1,338.91","1,338.91","1,294.26","1,319.88","1,319.88","7,712,050,000"
14-Feb-11,"1,328.73","1,344.07","1,324.61","1,343.01","1,343.01","12,589,110,000"
7-Feb-11,"1,311.85","1,330.79","1,311.74","1,329.15","1,329.15","20,109,950,000"
31-Jan-11,"1,276.50","1,311.00","1,276.50","1,310.87","1,310.87","21,726,860,000"
24-Jan-11,"1,283.29","1,302.67","1,275.10","1,276.34","1,276.34","23,156,650,000"
17-Jan-11,"1,293.22","1,296.06","1,271.26","1,283.35","1,283.35","19,899,340,000"
10-Jan-11,"1,285.78","1,293.24","1,280.47","1,293.24","1,293.24","8,972,430,000"